mission_time_s,tx,ty,tz,error,d1,d2,d3,x1,x2,x3,y1,y2,y3,z1,z2,z3
1.169601,NaN,NaN,NaN,NaN,0,0,0,0.013847,-1.976130,1.970283,0.029977,-2.047468,-1.975216,0.052574,0.049732,-0.007755
1.197554,NaN,NaN,NaN,NaN,0,0,0,0.013375,-1.976254,1.970476,0.030411,-2.047669,-1.975390,0.052490,0.049744,-0.007656
1.204574,NaN,NaN,NaN,NaN,0,0,0,0.013209,-1.976505,1.970671,0.030550,-2.048052,-1.975546,0.052456,0.049782,-0.007561
1.223663,NaN,NaN,NaN,NaN,0,0,0,0.013044,-1.976882,1.970859,0.030690,-2.048597,-1.975695,0.052422,0.049870,-0.007465
1.245495,NaN,NaN,NaN,NaN,0,0,0,0.012557,-1.977020,1.970964,0.031102,-2.048755,-1.975764,0.052322,0.049931,-0.007431
1.257131,NaN,NaN,NaN,NaN,0,0,0,0.012396,-1.977287,1.971170,0.031234,-2.049072,-1.975896,0.052292,0.050056,-0.007355
1.265582,NaN,NaN,NaN,NaN,0,0,0,0.012235,-1.977418,1.971271,0.031366,-2.049231,-1.975960,0.052258,0.050117,-0.007320
1.275492,NaN,NaN,NaN,NaN,0,0,0,0.011903,-1.977547,1.971370,0.031609,-2.049390,-1.976022,0.052189,0.050179,-0.007286
1.296239,NaN,NaN,NaN,NaN,0,0,0,0.011559,-1.977805,1.971666,0.031833,-2.049683,-1.976193,0.052120,0.050327,-0.007156
1.307303,NaN,NaN,NaN,NaN,0,0,0,0.011389,-1.978055,1.971762,0.031947,-2.049978,-1.976246,0.052086,0.050480,-0.007107
1.325813,NaN,NaN,NaN,NaN,0,0,0,0.010884,-1.978320,1.971961,0.032224,-2.050253,-1.976340,0.052002,0.050636,-0.006989
1.346166,NaN,NaN,NaN,NaN,0,0,0,0.010719,-1.978703,1.972246,0.032319,-2.050665,-1.976463,0.051971,0.050865,-0.006802
1.365707,NaN,NaN,NaN,NaN,0,0,0,0.010078,-1.978828,1.972427,0.032641,-2.050800,-1.976530,0.051903,0.050938,-0.006664
1.374804,NaN,NaN,NaN,NaN,0,0,0,0.009932,-1.979197,1.972515,0.032719,-2.051187,-1.976561,0.051891,0.051128,-0.006596
1.394824,NaN,NaN,NaN,NaN,0,0,0,0.009645,-1.979439,1.972738,0.032880,-2.051426,-1.976682,0.051842,0.051247,-0.006374
1.408418,NaN,NaN,NaN,NaN,0,0,0,0.009363,-1.979677,1.972866,0.033048,-2.051666,-1.976764,0.051796,0.051365,-0.006222
1.414995,NaN,NaN,NaN,NaN,0,0,0,0.009241,-1.979794,1.972921,0.033131,-2.051786,-1.976807,0.051769,0.051418,-0.006142
1.435117,NaN,NaN,NaN,NaN,0,0,0,0.008880,-1.979911,1.973030,0.033389,-2.051906,-1.976887,0.051689,0.051468,-0.006016
1.447584,NaN,NaN,NaN,NaN,0,0,0,0.008768,-1.980141,1.973096,0.033468,-2.052153,-1.976995,0.051655,0.051548,-0.005848
1.467463,NaN,NaN,NaN,NaN,0,0,0,0.008437,-1.980478,1.973161,0.033715,-2.052534,-1.977096,0.051563,0.051651,-0.005688
1.475349,NaN,NaN,NaN,NaN,0,0,0,0.008351,-1.980592,1.973168,0.033786,-2.052658,-1.977163,0.051529,0.051678,-0.005589
1.485589,NaN,NaN,NaN,NaN,0,0,0,0.008265,-1.980705,1.973175,0.033859,-2.052784,-1.977228,0.051491,0.051723,-0.005497
1.494562,NaN,NaN,NaN,NaN,0,0,0,0.008179,-1.980817,1.973182,0.033935,-2.052910,-1.977291,0.051456,0.051769,-0.005409
1.507199,NaN,NaN,NaN,NaN,0,0,0,0.008094,-1.981048,1.973185,0.034011,-2.053162,-1.977428,0.051422,0.051849,-0.005219
1.525439,NaN,NaN,NaN,NaN,0,0,0,0.007863,-1.981286,1.973175,0.034221,-2.053416,-1.977575,0.051319,0.051922,-0.005016
1.534878,NaN,NaN,NaN,NaN,0,0,0,0.007786,-1.981403,1.973167,0.034294,-2.053545,-1.977714,0.051285,0.051960,-0.004822
1.555517,NaN,NaN,NaN,NaN,0,0,0,0.007718,-1.981776,1.973105,0.034364,-2.053934,-1.977854,0.051258,0.052052,-0.004612
1.567263,NaN,NaN,NaN,NaN,0,0,0,0.007514,-1.982026,1.973046,0.034584,-2.054199,-1.977986,0.051167,0.052113,-0.004410
1.575619,NaN,NaN,NaN,NaN,0,0,0,0.007452,-1.982161,1.972992,0.034655,-2.054331,-1.978059,0.051147,0.052151,-0.004292
1.594099,NaN,NaN,NaN,NaN,0,0,0,0.007329,-1.982294,1.972888,0.034801,-2.054466,-1.978199,0.051109,0.052193,-0.004063
1.605999,NaN,NaN,NaN,NaN,0,0,0,0.007221,-1.982555,1.972837,0.034934,-2.054738,-1.978267,0.051090,0.052273,-0.003956
1.615332,NaN,NaN,NaN,NaN,0,0,0,0.007174,-1.982815,1.972726,0.034994,-2.055017,-1.978427,0.051090,0.052383,-0.003704
1.625420,NaN,NaN,NaN,NaN,0,0,0,0.007128,-1.982943,1.972671,0.035055,-2.055159,-1.978505,0.051086,0.052437,-0.003578
1.634508,NaN,NaN,NaN,NaN,0,0,0,0.007080,-1.983069,1.972616,0.035118,-2.055302,-1.978580,0.051083,0.052494,-0.003456
1.654416,NaN,NaN,NaN,NaN,0,0,0,0.006963,-1.983299,1.972501,0.035288,-2.055585,-1.978762,0.051117,0.052628,-0.003174
1.666524,NaN,NaN,NaN,NaN,0,0,0,0.006883,-1.983524,1.972387,0.035407,-2.055874,-1.978936,0.051140,0.052750,-0.002892
1.685526,NaN,NaN,NaN,NaN,0,0,0,0.006852,-1.983709,1.972247,0.035530,-2.056145,-1.979119,0.051174,0.052898,-0.002571
1.694481,NaN,NaN,NaN,NaN,0,0,0,0.006835,-1.983800,1.972178,0.035593,-2.056283,-1.979209,0.051189,0.052975,-0.002415
1.705732,NaN,NaN,NaN,NaN,0,0,0,0.006818,-1.983976,1.972035,0.035657,-2.056556,-1.979394,0.051201,0.053139,-0.002102
